start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 01:00:00+01:00,2024-11-10 01:30:00+01:00,2024-11-09T17:56:00+01:00,2100,AGGREGATED_CPC,D-1,ID00
2024-11-10 01:30:00+01:00,2024-11-10 02:00:00+01:00,2024-11-09T17:56:00+01:00,2087,AGGREGATED_CPC,D-1,ID00
2024-11-10 02:00:00+01:00,2024-11-10 02:30:00+01:00,2024-11-09T17:56:00+01:00,2077,AGGREGATED_CPC,D-1,ID00
2024-11-10 02:30:00+01:00,2024-11-10 03:00:00+01:00,2024-11-09T17:56:00+01:00,2089,AGGREGATED_CPC,D-1,ID00
2024-11-10 03:00:00+01:00,2024-11-10 03:30:00+01:00,2024-11-09T17:56:00+01:00,2099,AGGREGATED_CPC,D-1,ID00
2024-11-10 03:30:00+01:00,2024-11-10 04:00:00+01:00,2024-11-09T17:56:00+01:00,2107,AGGREGATED_CPC,D-1,ID00
2024-11-10 04:00:00+01:00,2024-11-10 04:30:00+01:00,2024-11-09T17:56:00+01:00,2116,AGGREGATED_CPC,D-1,ID00
2024-11-10 04:30:00+01:00,2024-11-10 05:00:00+01:00,2024-11-09T17:56:00+01:00,2128,AGGREGATED_CPC,D-1,ID00
2024-11-10 05:00:00+01:00,2024-11-10 05:30:00+01:00,2024-11-09T17:56:00+01:00,2134,AGGREGATED_CPC,D-1,ID00
2024-11-10 05:30:00+01:00,2024-11-10 06:00:00+01:00,2024-11-09T17:56:00+01:00,2138,AGGREGATED_CPC,D-1,ID00
2024-11-10 06:00:00+01:00,2024-11-10 06:30:00+01:00,2024-11-09T17:56:00+01:00,2150,AGGREGATED_CPC,D-1,ID00
2024-11-10 06:30:00+01:00,2024-11-10 07:00:00+01:00,2024-11-09T17:56:00+01:00,2160,AGGREGATED_CPC,D-1,ID00
2024-11-10 07:00:00+01:00,2024-11-10 07:30:00+01:00,2024-11-09T17:56:00+01:00,2162,AGGREGATED_CPC,D-1,ID00
2024-11-10 07:30:00+01:00,2024-11-10 08:00:00+01:00,2024-11-09T17:56:00+01:00,2220,AGGREGATED_CPC,D-1,ID00
2024-11-10 08:00:00+01:00,2024-11-10 08:30:00+01:00,2024-11-09T17:56:00+01:00,2528,AGGREGATED_CPC,D-1,ID00
2024-11-10 08:30:00+01:00,2024-11-10 09:00:00+01:00,2024-11-09T17:56:00+01:00,3056,AGGREGATED_CPC,D-1,ID00
2024-11-10 09:00:00+01:00,2024-11-10 09:30:00+01:00,2024-11-09T17:56:00+01:00,3604,AGGREGATED_CPC,D-1,ID00
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T17:56:00+01:00,4217,AGGREGATED_CPC,D-1,ID00
2024-11-10 10:00:00+01:00,2024-11-10 10:30:00+01:00,2024-11-09T17:56:00+01:00,4739,AGGREGATED_CPC,D-1,ID00
